Perf,Perf_rep
2.531112,3.249382
1.159763,0.999505
0.442385,0.373488
2.084380,3.701282
8.052935,15.183768
4.419300,6.939865
4.241644,5.116236
4.492584,5.580263
1.308597,1.225216
6.889182,8.687083
7.007289,9.626753
1.012284,1.470969
7.906793,9.956549
9.335963,13.129462
1.561258,2.417804
2.513866,3.403464
7.112098,8.763365
5.285779,6.615941
4.757764,6.678485
1.014801,1.309696
2.876255,4.473787
7.967430,9.582762
2.945625,3.356561
1.268076,1.219627
1.763723,2.188008
3.085426,4.674447
1.188731,1.037080
1.602665,1.587223
1.000010,1.144171
8.038354,11.302638
2.686292,3.421257
0.876238,1.066656
1.876319,2.468420
1.122085,1.505415
1.403567,1.815750
4.844445,6.155761
0.389332,0.459317
0.804628,0.855784
3.000155,8.899798
18.294745,26.784500
2.269339,3.650114
1.203447,3.003584
4.808471,8.091541
1.157766,1.626609
3.798418,5.734992
1.020545,1.385861
16.982412,17.050468
3.610657,4.559524
11.607532,14.177133
3.478342,4.291184
6.523607,8.081571
2.531307,3.713938
0.973519,1.817433
10.034194,12.199244
7.688424,9.181464
1.314537,1.650003
6.509559,7.302953
3.362174,4.236391
6.553480,7.114423
2.920688,3.565199
2.860395,3.418047
1.418751,1.930332
3.041955,3.685556
3.843737,4.517894
2.040676,2.777312
1.375470,1.686718
2.882555,3.802561
3.603515,4.502706
5.829427,6.907750
3.570147,3.817463
1.383414,1.675617
1.209477,1.523676
14.794135,16.270308
3.249455,3.063541
1.787256,1.903398
1.000872,2.549251
4.900169,6.423378
2.022053,3.117515
1.092446,1.612384
5.255466,6.607633
0.506294,0.755778
7.391204,9.762878
2.937302,3.995478
1.299519,1.903876
3.639532,5.341626
1.980724,1.880825
2.462784,3.159804
6.062028,7.636203
2.291430,2.800246
0.653053,0.613322
3.437447,4.328989
4.678286,6.020978
2.017076,2.843577
1.400235,1.635457
2.797342,3.115555
4.136330,4.921721
5.259085,5.352561
4.099294,4.535293
5.125742,6.136259
6.911403,8.346662
5.074806,7.353062
0.991405,1.243439
1.206083,1.212223
2.009399,2.025283
0.654275,0.846465
4.247360,5.177519
5.934251,5.543925
2.078292,2.588853
1.451503,1.224034
5.027212,9.381877
0.216893,0.285570
2.152274,5.523073
1.748846,2.197729
15.669110,13.463761
1.758168,2.277393
5.368946,5.114977
17.802128,24.442586
3.568408,4.227955
3.868056,5.249047
3.277051,6.949977
3.113368,4.230551
8.087500,9.251280
12.959413,12.959674
5.662332,5.163589
0.256943,0.433802
1.786310,2.245994
3.723640,4.513347
2.814747,2.672511
2.528555,2.769659
1.066406,1.118122
1.776821,1.915041
8.972484,11.280516
1.431502,1.852072
0.715529,0.742212
1.056853,1.228438
4.985118,5.520904
5.791946,6.136163
5.654841,5.885929
9.536529,11.445927
11.866032,13.966027
0.523194,0.537633
0.566249,0.694113
3.074841,3.872886
5.085469,6.364551
5.921120,7.515255
4.011955,4.581305
3.467385,3.625204
1.305162,1.290077
2.138455,2.829790
4.601620,7.080850
4.648827,5.359432
10.085387,8.803986
5.378099,6.100437
1.470123,3.537397
5.417002,5.158216
0.811236,0.958627
1.347157,2.903115
4.845589,7.589576
4.244191,8.573708
0.490546,0.430308
2.113342,2.182605
0.400570,0.336896
1.278947,4.537553
3.103183,5.689981
0.258469,0.691832
4.706562,11.590280
0.473573,1.051124
1.387189,3.553094
1.457471,1.812350
7.166125,13.360440
1.379062,2.994820
1.028450,2.255643
2.256675,1.965381
1.232489,1.443072
0.614172,1.184206
2.723512,5.458806
8.732402,10.402865
0.853473,0.792497
1.748496,2.235069
1.852663,1.945609
6.072907,7.373881
2.295165,2.274223
4.407227,5.227765
8.586970,10.080797
0.934628,1.097873
3.159075,3.425362
1.060745,1.453890
9.036595,9.827186
8.841093,9.746289
